         26059995 function calls (26045129 primitive calls) in 52.058 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   105120   17.745    0.000   19.035    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\onnxruntime\capi\onnxruntime_inference_collection.py:178(run)
  1997280    3.462    0.000   44.033    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\simulator\simulator.py:15(do_component_timestep)
  1997280    3.161    0.000    3.762    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\utils\report.py:68(update_report)
   525600    2.035    0.000    2.156    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\utils\schedule.py:21(update_output)
        3    1.807    0.602    1.807    0.602 {built-in method _winapi.WaitForSingleObject}
   105120    1.749    0.000    1.749    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\saref4bldg\building_space\building_space_model.py:274(<dictcomp>)
   105120    1.711    0.000   28.885    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\saref4bldg\building_space\building_space_model.py:456(get_temperature)
   105120    1.640    0.000    2.801    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\saref4bldg\building_space\building_space_model.py:422(get_model_input)
   210240    1.530    0.000    2.126    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\utils\node.py:10(update_output)
   105120    1.259    0.000    1.259    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\onnxruntime\capi\onnxruntime_inference_collection.py:198(<listcomp>)
   105120    1.192    0.000    1.192    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\saref4bldg\building_space\building_space_model.py:256(rescale)
        3    1.029    0.343    1.029    0.343 {built-in method _pickle.load}
