,time,reference_T_a,reference_T_b
2024-01-01 00:00:00+01:00,2024-01-01 00:00:00+01:00,17.55092702799739,15.601371088300263
2024-01-01 00:10:00+01:00,2024-01-01 00:10:00+01:00,17.33503588418261,15.42093726470984
2024-01-01 00:20:00+01:00,2024-01-01 00:20:00+01:00,17.203686101500573,15.31472199616249
2024-01-01 00:30:00+01:00,2024-01-01 00:30:00+01:00,17.10205102227722,15.231069017291032
2024-01-01 00:40:00+01:00,2024-01-01 00:40:00+01:00,17.013409438334765,15.155420256078742
2024-01-01 00:50:00+01:00,2024-01-01 00:50:00+01:00,16.931494313889367,15.082991032397816
2024-01-01 01:00:00+01:00,2024-01-01 01:00:00+01:00,16.855290307469943,15.013787033404151
2024-01-01 01:10:00+01:00,2024-01-01 01:10:00+01:00,16.78345299591462,14.947171271562645
2024-01-01 01:20:00+01:00,2024-01-01 01:20:00+01:00,16.709961135542482,14.877615978378532
2024-01-01 01:30:00+01:00,2024-01-01 01:30:00+01:00,16.632749573352818,14.803402854535149
2024-01-01 01:40:00+01:00,2024-01-01 01:40:00+01:00,16.554064904064948,14.727024358503856
2024-01-01 01:50:00+01:00,2024-01-01 01:50:00+01:00,16.47590736466979,14.650656619519177
2024-01-01 02:00:00+01:00,2024-01-01 02:00:00+01:00,16.396628670482762,14.572778436918535
2024-01-01 02:10:00+01:00,2024-01-01 02:10:00+01:00,16.3165113516913,14.493765119191439
2024-01-01 02:20:00+01:00,2024-01-01 02:20:00+01:00,16.23444691791725,14.412576637455388
2024-01-01 02:30:00+01:00,2024-01-01 02:30:00+01:00,16.151064559102355,14.329893247129574
2024-01-01 02:40:00+01:00,2024-01-01 02:40:00+01:00,16.069644812229495,14.24903398213809
2024-01-01 02:50:00+01:00,2024-01-01 02:50:00+01:00,15.990258970642632,14.170099457252732
2024-01-01 03:00:00+01:00,2024-01-01 03:00:00+01:00,15.912900364536553,14.093105553602133
2024-01-01 03:10:00+01:00,2024-01-01 03:10:00+01:00,15.834782503903954,14.015283282112375
2024-01-01 03:20:00+01:00,2024-01-01 03:20:00+01:00,15.75479052429092,13.935531472283484
2024-01-01 03:30:00+01:00,2024-01-01 03:30:00+01:00,15.677382453499328,13.85831894632437
2024-01-01 03:40:00+01:00,2024-01-01 03:40:00+01:00,15.603147885505365,13.784243862638819
2024-01-01 03:50:00+01:00,2024-01-01 03:50:00+01:00,15.532381094714717,13.713607329488633
2024-01-01 04:00:00+01:00,2024-01-01 04:00:00+01:00,15.464921163804075,13.646253909309047
2024-01-01 04:10:00+01:00,2024-01-01 04:10:00+01:00,15.39805330154468,13.579473223263616
2024-01-01 04:20:00+01:00,2024-01-01 04:20:00+01:00,15.332160698845582,13.513652027801996
2024-01-01 04:30:00+01:00,2024-01-01 04:30:00+01:00,15.267538331954892,13.449088188987938
2024-01-01 04:40:00+01:00,2024-01-01 04:40:00+01:00,15.20322775611032,13.384825610046905
2024-01-01 04:50:00+01:00,2024-01-01 04:50:00+01:00,15.137866510407562,13.319503741777137
2024-01-01 05:00:00+01:00,2024-01-01 05:00:00+01:00,15.075065500723758,13.256735049209924
2024-01-01 05:10:00+01:00,2024-01-01 05:10:00+01:00,15.018111883871075,13.199807962578205
2024-01-01 05:20:00+01:00,2024-01-01 05:20:00+01:00,14.965430160408316,13.147148023703064
2024-01-01 05:30:00+01:00,2024-01-01 05:30:00+01:00,14.916149837676022,13.097885592167529
2024-01-01 05:40:00+01:00,2024-01-01 05:40:00+01:00,14.869880279452826,13.051630729831682
2024-01-01 05:50:00+01:00,2024-01-01 05:50:00+01:00,14.826431575845097,13.00819409897447
2024-01-01 06:00:00+01:00,2024-01-01 06:00:00+01:00,15.298777854656684,12.976109693589455
2024-01-01 06:10:00+01:00,2024-01-01 06:10:00+01:00,15.653167575532343,12.979344262042572
2024-01-01 06:20:00+01:00,2024-01-01 06:20:00+01:00,15.939053882998031,13.018788165635112
2024-01-01 06:30:00+01:00,2024-01-01 06:30:00+01:00,16.181582099074326,13.086983605388642
2024-01-01 06:40:00+01:00,2024-01-01 06:40:00+01:00,16.395246717908346,13.177467961650457
2024-01-01 06:50:00+01:00,2024-01-01 06:50:00+01:00,16.587278971700663,13.283039371075573
2024-01-01 07:00:00+01:00,2024-01-01 07:00:00+01:00,16.760056943490756,13.394929897288733
2024-01-01 07:10:00+01:00,2024-01-01 07:10:00+01:00,16.91998068862249,13.511865398242465
2024-01-01 07:20:00+01:00,2024-01-01 07:20:00+01:00,17.074712042840833,13.63613235708785
2024-01-01 07:30:00+01:00,2024-01-01 07:30:00+01:00,17.228027481280815,13.765444310278491
2024-01-01 07:40:00+01:00,2024-01-01 07:40:00+01:00,17.38171380354039,13.901103829394023
2024-01-01 07:50:00+01:00,2024-01-01 07:50:00+01:00,17.537578213566327,14.043755692276095
2024-01-01 08:00:00+01:00,2024-01-01 08:00:00+01:00,17.699166249337686,14.199870630447561
2024-01-01 08:10:00+01:00,2024-01-01 08:10:00+01:00,17.869205395261936,14.368343007239378
2024-01-01 08:20:00+01:00,2024-01-01 08:20:00+01:00,18.046327136534963,14.539991796834963
2024-01-01 08:30:00+01:00,2024-01-01 08:30:00+01:00,18.22737303124233,14.71954321043129
2024-01-01 08:40:00+01:00,2024-01-01 08:40:00+01:00,18.40734786942607,14.898386915149601
2024-01-01 08:50:00+01:00,2024-01-01 08:50:00+01:00,18.584743162942594,15.07365997170776
2024-01-01 09:00:00+01:00,2024-01-01 09:00:00+01:00,18.249172127985123,15.2448242974995
2024-01-01 09:10:00+01:00,2024-01-01 09:10:00+01:00,18.033090972592404,15.390793149225555
2024-01-01 09:20:00+01:00,2024-01-01 09:20:00+01:00,17.885041867957227,15.50515826452937
2024-01-01 09:30:00+01:00,2024-01-01 09:30:00+01:00,17.778338438541713,15.583870997726677
2024-01-01 09:40:00+01:00,2024-01-01 09:40:00+01:00,17.701676387692775,15.641179389058689
2024-01-01 09:50:00+01:00,2024-01-01 09:50:00+01:00,17.648530564319255,15.688935611295475
2024-01-01 10:00:00+01:00,2024-01-01 10:00:00+01:00,17.6129868772043,15.73424458518483
2024-01-01 10:10:00+01:00,2024-01-01 10:10:00+01:00,17.59287178961448,15.773014552632286
2024-01-01 10:20:00+01:00,2024-01-01 10:20:00+01:00,17.58677982803839,15.811439847205815
2024-01-01 10:30:00+01:00,2024-01-01 10:30:00+01:00,17.58893456718386,15.842353649621948
2024-01-01 10:40:00+01:00,2024-01-01 10:40:00+01:00,17.597757784502942,15.867656323419013
2024-01-01 10:50:00+01:00,2024-01-01 10:50:00+01:00,17.61522868682719,15.904060509078526
2024-01-01 11:00:00+01:00,2024-01-01 11:00:00+01:00,17.639339760315316,15.951841356547193
2024-01-01 11:10:00+01:00,2024-01-01 11:10:00+01:00,17.666859937983716,15.997651478950527
